name,description,url,position,street,city,county,state,country,postal_code,phone,email
Buen Pastor,,,"18.3096743,-66.0834995",,,,,,,,
Calvary Church of the Nazarene,,,"18.39405,-66.009781",,,,,,,,
Capilla de Anones,,,"18.2799536,-66.2446126",,,,,,,,
Capilla de la Florecita,,,"18.2385646,-67.1229574",,,,,,,,
Capilla de la Milagrosa,,,"18.169401,-67.1079575",,,,,,,,
Capilla de las Tunas,,,"18.0527392,-67.12379",,,,,,,,
Capilla de la Virgen Inmaculada,,,"18.2007902,-66.0829436",,,,,,,,
Capilla del Calvario (historical),,,"18.4691115,-66.1212775",,,,,,,,
Capilla del Carmen,,,"18.0755157,-67.1835131",,,,,,,,
Capilla del Perpetuo Socorro,,,"18.0463513,-67.0118444",,,,,,,,
Capilla del Pozo de la Virgen,,,"18.094683,-66.9451771",,,,,,,,
Capilla del Sagrada Corazón de Jesus,,,"18.1027384,-66.88851",,,,,,,,
Capilla del Sagrado Corazón,,,"18.1846799,-66.0857214",,,,,,,,
Capilla de Paris,,,"18.0374623,-67.1029563",,,,,,,,
Capilla de San Alfonso,,,"18.1513481,-66.0387761",,,,,,,,
Capilla de San Geraldo,,,"18.0260755,-66.1307215",,,,,,,,
Capilla de San José,,,"18.170236,-66.4398934",,,,,,,,
Capilla de San Juan (historical),,,"18.4657784,-66.1182219",,,,,,,,
Capilla de Santa Ana,,,"18.1788449,-67.1179574",,,,,,,,
Capilla de Santa Marta,,,"18.0571849,-66.2404454",,,,,,,,
Capilla de Santa Rosa,,,"18.1510694,-66.9262884",,,,,,,,
Capilla Fátima,,,"18.3955044,-66.3471139",,,,,,,,
Capilla La Virgen De Alta Gracia,,,"18.3249492,-67.1835144",,,,,,,,
Capilla La Virgen del Buen Consejo,,,"18.3391156,-67.1390694",,,,,,,,
Capilla La Virgen de Monserrate,,,"18.3368934,-67.1590697",,,,,,,,
Capilla Mal Paso,,,"18.3632812,-67.1629586",,,,,,,,
Capilla San Francisco,,,"18.2410663,-66.664618",,,,,,,,
Capilla San José,,,"18.3227269,-67.2051813",,,,,,,,
Capilla San Patricio,,,"18.2207893,-66.0798882",,,,,,,,
Capilla Santa Rita,,,"18.3330046,-67.1718476",,,,,,,,
Capilla Umberto Vázquez,,,"18.0946825,-67.0193449",,,,,,,,
Capillo de Cristo,,,"18.4635563,-66.1176664",,,,,,,,
Catedral de San German de Auxerre,,,"18.0810719,-67.044623",,,,,,,,
Catedral de San Juan,,,"18.4641118,-66.1182219",,,,,,,,
Catedral San Felipe,,,"18.4730006,-66.7151751",,,,,,,,
Cathedral of Caguas,,,"18.2343995,-66.0340541",,,,,,,,
Cathedral of Our Lady of Guadalupe,,,"18.01191,-66.6143394",,,,,,,,
Chapel of El Santo Christo de la Salud,,,"18.4677227,-66.1179441",,,,,,,,
Chapel of Santa Barbara,,,"18.4674449,-66.1112774",,,,,,,,
Christian Community Church,,,"18.37678,-66.094167",,,,,,,,
Concepcion Church,,,"18.463834,-66.1182219",,,,,,,,
Convento de los Dominicos,,,"18.4677227,-66.1173886",,,,,,,,
